Title,Available Globally,Release Date,Hours Viewed,Month
The Night Agent: Season 1,1,2023-03-23,812100000,2023-03
Ginny & Georgia: Season 2,1,2023-01-05,665100000,2023-01
The Glory: Season 1 // 더 글로리: 시즌 1,1,2022-12-30,622800000,2022-12
Wednesday: Season 1,1,2022-11-23,507700000,2022-11
Queen Charlotte: A Bridgerton Story,1,2023-05-04,503000000,2023-05
You: Season 4,1,2023-02-09,440600000,2023-02
La Reina del Sur: Season 3,0,2022-12-30,429600000,2022-12
Outer Banks: Season 3,1,2023-02-23,402500000,2023-02
Ginny & Georgia: Season 1,1,2021-02-24,302100000,2021-02
FUBAR: Season 1,1,2023-05-25,266200000,2023-05
Manifest: Season 4,1,2022-11-04,262600000,2022-11
Kaleidoscope: Limited Series,1,2023-01-01,252500000,2023-01
Firefly Lane: Season 2,1,2022-12-02,251500000,2022-12
The Mother,1,2023-05-12,249900000,2023-05
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,1,2023-01-24,235000000,2023-01
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,1,2023-01-14,234800000,2023-01
Love Is Blind: Season 4,1,2023-03-24,229700000,2023-03
BEEF: Season 1,1,2023-04-06,221100000,2023-04
The Diplomat: Season 1,1,2023-04-20,214100000,2023-04
Luther: The Fallen Sun,1,2023-03-10,209700000,2023-03
Fake Profile: Season 1 // Perfil falso: Temporada 1,0,2023-05-31,206500000,2023-05
Vikings: Valhalla: Season 2,1,2023-01-12,205500000,2023-01
Extraction 2,1,2023-06-16,201800000,2023-06
"XO, Kitty: Season 1",1,2023-05-18,200700000,2023-05
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,1,2023-04-15,194700000,2023-04
Shadow and Bone: Season 2,1,2023-03-16,192900000,2023-03
Outer Banks: Season 1,1,2020-04-15,184000000,2020-04
Sweet Tooth: Season 2,1,2023-04-27,182300000,2023-04
You People,1,2023-01-27,181800000,2023-01
Perfect Match: Season 1,1,2023-02-14,176800000,2023-02
Sex/Life: Season 2,1,2023-03-02,175500000,2023-03
The Marked Heart: Season 2 // Pálpito: Temporada 2,1,2023-04-19,174300000,2023-04
Murder Mystery 2,1,2023-03-31,173600000,2023-03
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,0,2023-06-14,172400000,2023-06
"Pablo Escobar, el patrón del mal: Season 1",1,,170100000,
Never Have I Ever: Season 4,1,2023-06-08,168300000,2023-06
Your Place or Mine,1,2023-02-10,163000000,2023-02
Chiquititas (2013),0,,162000000,
Emily in Paris: Season 3,1,2022-12-21,161100000,2022-12
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,1,2022-12-22,157600000,2022-12
Alchemy of Souls: Part 1 // 환혼: 파트 1,1,2022-06-18,155300000,2022-06
Outer Banks: Season 2,1,2021-07-30,153900000,2021-07
New Amsterdam (2018): Season 1,0,,153000000,
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,0,2022-10-19,152100000,2022-10
Mr. Queen // 철인왕후,0,,151500000,
Manifest: Season 1,0,2021-06-10,151400000,2021-06
Alchemy of Souls: Part 2 // 환혼: 파트 2,1,2022-12-10,150200000,2022-12
PAW Patrol: Season 6,0,,149300000,
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,1,2023-04-26,148600000,2023-04
The Recruit: Season 1,1,2022-12-16,146900000,2022-12
Bloodhounds: Season 1 // 사냥개들: 시즌 1,1,2023-06-09,146700000,2023-06
Glass Onion: A Knives Out Mystery,1,2022-12-23,142900000,2022-12
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,0,2023-03-01,140100000,2023-03
Black Mirror: Season 6,1,2023-06-15,139900000,2023-06
Triptych: Season 1 // Tríada: Temporada 1,1,2023-02-22,139300000,2023-02
The Walking Dead: Season 11,0,,136800000,
Bridgerton: Season 1,1,2020-12-25,136600000,2020-12
CoComelon: Season 1,0,2020-05-31,136200000,2020-05
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,1,2022-06-29,135900000,2022-06
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,1,2023-01-27,134800000,2023-01
Stranger Things 4,1,2022-05-27,133600000,2022-05
The Marked Heart: Season 1 // Pálpito: Temporada 1,1,2022-04-20,133500000,2022-04
Bridgerton: Season 2,1,2022-03-25,133400000,2022-03
Little Angel: Volume 1,1,,132100000,
PAW Patrol: Season 5,0,,130700000,
Pasión de Gavilanes: Season 1,0,,129200000,
Suits (2011): Season 1,1,,129100000,
Sex/Life: Season 1,1,2021-06-25,126400000,2021-06
We Have a Ghost,1,2023-02-24,124400000,2023-02
You: Season 1,1,2018-12-26,123500000,2018-12
Business Proposal: Season 1 // 사내맞선: 시즌 1,1,2022-02-28,120700000,2022-02
The Pale Blue Eye,1,2023-01-06,120500000,2023-01
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,1,2019-12-14,120300000,2019-12
AKA,1,2023-04-28,120000000,2023-04
MH370: The Plane That Disappeared: Limited Series,1,2023-03-08,118900000,2023-03
Queenmaker: Season 1 // 퀸메이커: 시즌 1,1,2023-04-14,118600000,2023-04
Vikings: Valhalla: Season 1,1,2022-02-25,116500000,2022-02
Breaking Bad: Season 2,0,,116200000,
Muted: Limited Series // El silencio: Miniserie,1,2023-05-19,115800000,2023-05
Lockwood & Co.: Season 1,1,2023-01-27,113600000,2023-01
You: Season 3,1,2021-10-15,107200000,2021-10
Breaking Bad: Season 5,0,,107000000,
Suits (2011): Season 2,1,,106600000,
Murdaugh Murders: A Southern Scandal: Season 1,1,2023-02-22,104600000,2023-02
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,1,2023-04-21,104500000,2023-04
Breaking Bad: Season 3,0,,104300000,
Lucifer: Season 3,0,2017-10-03,102800000,2017-10
CoComelon: Season 2,0,2020-12-17,102300000,2020-12
Café con aroma de mujer: Season 1,0,2021-12-29,101700000,2021-12
Love to Hate You: Season 1 // 연애대전: 시즌 1,1,2023-02-10,99900000,2023-02
The Blacklist: Season 1,0,,99900000,
Shadow and Bone: Season 1,1,2021-04-23,99500000,2021-04
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",0,2022-11-23,99000000,2022-11
Designated Survivor: Season 1,1,2016-09-22,98500000,2016-09
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,1,2022-12-21,97800000,2022-12
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,0,2022-05-20,97600000,2022-05
Minions: The Rise of Gru,0,,96400000,
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",0,,95800000,
The Blacklist: Season 9,0,,95700000,
That '90s Show: Part 1,1,2023-01-19,95100000,2023-01
You: Season 2,1,2019-12-26,95000000,2019-12
La Reina del Sur: Season 1,0,2011-09-05,94700000,2011-09
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,1,2022-01-28,94600000,2022-01
New Amsterdam (2018): Season 2,0,,94400000,
Black Knight: Season 1 // 택배기사: 시즌 1,1,2023-05-12,94300000,2023-05
Breaking Bad: Season 4,0,,94300000,
Obsession: Limited Series,1,2023-04-13,94200000,2023-04
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,1,2023-03-24,92900000,2023-03
La Reina del Sur: Season 2,0,2019-08-16,92500000,2019-08
Hunger // คนหิว เกมกระหาย,1,2023-04-08,92300000,2023-04
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,1,2020-12-10,92200000,2020-12
CoComelon: Season 3,0,2021-05-31,91400000,2021-05
Firefly Lane: Season 1,1,2021-02-03,91200000,2021-02
Women at War: Limited Series // Les Combattantes: Mini-série,1,2022-10-27,90800000,2022-10
Formula 1: Drive to Survive: Season 5,1,2023-02-24,90200000,2023-02
Sweet Tooth: Season 1,1,2021-06-04,89000000,2021-06
S.W.A.T. (2017): Season 1,0,,88600000,
Murder Mystery,1,2019-06-14,87900000,2019-06
True Beauty // 여신강림,0,,87300000,
Squid Game: Season 1 // 오징어 게임: 시즌 1,1,2021-09-17,87200000,2021-09
Little Angel: Volume 2,1,,86200000,
Manifest: Season 2,0,2021-06-10,86200000,2021-06
Extraction,1,2020-04-24,86100000,2020-04
Lucifer: Season 2,0,2017-08-31,86100000,2017-08
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,1,2022-12-31,86000000,2022-12
Woman of the Dead: Season 1 // Totenfrau: Season 1,1,2022-11-15,85400000,2022-11
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,1,2023-02-15,85000000,2023-02
Florida Man: Limited Series,1,2023-04-13,84600000,2023-04
Lucifer: Season 1,0,2017-07-23,84400000,2017-07
Shahmaran: Season 1 // Şahmaran: Season 1,1,2023-01-20,83600000,2023-01
Breaking Bad: Season 1,0,,83200000,
The Last Kingdom: Seven Kings Must Die,1,2023-04-14,83200000,2023-04
Selling Sunset: Season 6,1,2023-05-19,82800000,2023-05
CoComelon: Season 4,0,2021-10-14,82500000,2021-10
Suits (2011): Season 3,1,,82500000,
Sam & Cat: Season 1,0,,82400000,
Gilmore Girls: Season 1,1,,82100000,
Sonic Prime: Season 1,1,2022-12-15,82100000,2022-12
Peppa Pig: Season 1,0,,81800000,
Manifest: Season 3,0,2021-08-21,81700000,2021-08
Roald Dahl's Matilda The Musical,1,2022-12-25,81000000,2022-12
Better Call Saul: Season 6,0,2022-04-19,80800000,2022-04
Sing (2016),0,,80500000,
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,0,,80300000,
All Quiet on the Western Front // Im Westen nichts Neues,1,2022-10-28,80000000,2022-10
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,1,2023-03-17,79700000,2023-03
Alpha Males: Season 1 // Machos alfa: Season 1,0,2022-12-30,78200000,2022-12
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,0,2023-01-26,78200000,2023-01
Chupa,1,2023-04-07,77800000,2023-04
Stranger Things,1,2016-07-15,77800000,2016-07
Paw Patrol: The Movie,0,,77200000,
Sing 2,0,,76600000,
The Crown: Season 5,1,2022-11-09,76300000,2022-11
Next in Fashion: Season 2,1,2023-03-03,75700000,2023-03
Gilmore Girls: Season 2,1,,75200000,
Lucifer: Season 5,0,2020-08-21,75200000,2020-08
The Boss Baby,0,,75100000,
